recordid,start,fwcode,mcode,section,errtype,varname,errordesc,start_fmt
418,December 15, 2025 13:50,FR,NDB000003006037,Section B – Pregnancy related questions,Out-of-range,b1_3,Out-of-range value for b1_3. How many months ago did your last pregnancy end? (b1_3); expected 0–11 months since pregnancy ended,
1502,January 12, 2026 17:36,FR,NCC000114001001,Section B – Pregnancy related questions,Out-of-range,b1_3,Out-of-range value for b1_3. How many months ago did your last pregnancy end? (b1_3); expected 0–11 months since pregnancy ended,
1541,January 19, 2026 15:46,FR,NFC000048001018,Section B – Pregnancy related questions,Out-of-range,b1_3,Out-of-range value for b1_3. How many months ago did your last pregnancy end? (b1_3); expected 0–11 months since pregnancy ended,
